bloco,cenario,resolucao,threads,schedule,chunk,repeticao,tempo_s,t_min,t_mean,t_max,lambda
baseline,full,4096x4096,1,,,1,5.8764,,,,1.0000
baseline,seahorse,4096x4096,1,,,1,2.6212,,,,1.0000
1,full,4096x4096,1,static,,1,5.8827,5.882724,5.882724,5.882724,1.0000
1,full,4096x4096,1,static,,2,5.8595,5.859488,5.859488,5.859488,1.0000
1,full,4096x4096,1,static,,3,5.8515,5.851471,5.851471,5.851471,1.0000
1,full,4096x4096,2,static,,1,2.9605,2.933484,2.946920,2.960357,1.0046
1,full,4096x4096,2,static,,2,2.9348,2.929864,2.932219,2.934574,1.0008
1,full,4096x4096,2,static,,3,2.9470,2.922292,2.934517,2.946742,1.0042
1,full,4096x4096,4,static,,1,2.8707,0.100321,1.480345,2.870420,1.9390
1,full,4096x4096,4,static,,2,2.8729,0.101194,1.483384,2.872263,1.9363
1,full,4096x4096,4,static,,3,2.8667,0.095410,1.474736,2.866337,1.9436
1,full,4096x4096,8,static,,1,2.0305,0.021424,0.769831,2.030086,2.6371
1,full,4096x4096,8,static,,2,2.0183,0.010741,0.761365,2.017865,2.6503
1,full,4096x4096,8,static,,3,2.0361,0.010595,0.765593,2.035662,2.6589
1,full,4096x4096,16,static,,1,1.1880,0.011770,0.407029,1.187371,2.9172
1,full,4096x4096,16,static,,2,1.1946,0.009115,0.402413,1.194022,2.9672
1,full,4096x4096,16,static,,3,1.2388,0.009840,0.401765,1.238012,3.0814
2,full,4096x4096,8,static,1,1,0.9938,0.837961,0.882944,0.992955,1.1246
2,full,4096x4096,8,static,1,2,0.9503,0.788654,0.832973,0.949773,1.1402
2,full,4096x4096,8,static,1,3,0.9442,0.788525,0.831898,0.943899,1.1346
2,full,4096x4096,8,static,8,1,0.9439,0.788853,0.828386,0.943548,1.1390
2,full,4096x4096,8,static,8,2,0.9458,0.784687,0.827359,0.944108,1.1411
2,full,4096x4096,8,static,8,3,0.9406,0.783032,0.826026,0.940106,1.1381
2,full,4096x4096,8,static,16,1,0.9350,0.774620,0.826752,0.934493,1.1303
2,full,4096x4096,8,static,16,2,0.9600,0.775497,0.827270,0.959526,1.1599
2,full,4096x4096,8,static,16,3,0.9582,0.772532,0.828152,0.957646,1.1564
2,full,4096x4096,8,static,32,1,0.9379,0.729799,0.825241,0.937538,1.1361
2,full,4096x4096,8,static,32,2,0.9657,0.728136,0.823756,0.965148,1.1716
2,full,4096x4096,8,static,32,3,0.9558,0.736919,0.826134,0.955408,1.1565
2,full,4096x4096,8,static,64,1,0.9924,0.751675,0.825196,0.991781,1.2019
2,full,4096x4096,8,static,64,2,1.0199,0.767591,0.850110,1.019400,1.1991
2,full,4096x4096,8,static,64,3,0.9452,0.756489,0.829692,0.944865,1.1388
2,full,4096x4096,8,dynamic,1,1,0.8320,0.831507,0.831561,0.831617,1.0001
2,full,4096x4096,8,dynamic,1,2,0.8334,0.832848,0.832872,0.832911,1.0000
2,full,4096x4096,8,dynamic,1,3,0.8314,0.830903,0.831005,0.831045,1.0000
2,full,4096x4096,8,dynamic,8,1,0.8328,0.832126,0.832231,0.832368,1.0002
2,full,4096x4096,8,dynamic,8,2,0.8317,0.831216,0.831299,0.831415,1.0001
2,full,4096x4096,8,dynamic,8,3,0.8361,0.835548,0.835645,0.835729,1.0001
2,full,4096x4096,8,dynamic,16,1,0.8322,0.831460,0.831596,0.831732,1.0002
2,full,4096x4096,8,dynamic,16,2,0.8329,0.832079,0.832245,0.832526,1.0003
2,full,4096x4096,8,dynamic,16,3,0.8333,0.832402,0.832610,0.832922,1.0004
